ID,ANSWER,AnswerAdjectives,AnswerEntities,AnswerNouns,Answerfirstsent,CLASS,QUESTION,QuestionsAdjectives,QuestionsEntities,QuestionsNouns
274,"The low carb program looks to stay away from most types of beer as they can be quite high in carbs. That being said some beers are worse than others. Coors Light, for example, contains just 5g per 330m and is probably one of the best options when looking to keep te carbs down. For more info on drinking beer on a LCHF diet, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/well-drink-to-that-why-beer-isnt-off-limits-on-low-carb/","['low', 'most', 'high']","['types', 'program', 'beer', 'carbs']","['carb', 'program', 'types', 'beer', 'carbs']",the low carb program looks to stay away from most types of beer as they can be quite high in carbs.,informationanddefinition,Can I drink beer?,[],['beer'],['beer']
342,"Beer, sometimes dubbed liquid bread, is very high in carbs. That being said, there are some low-ish carb beers. Coors light has 5g of carbs per 330ml bottle, ranking it as one of the lowest in carbs. For more info on low carb beers, feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/national-beer-day-our-guide-to-low-carb-tipples/","['liquid', 'high']","['beer', 'liquid bread', 'carbs']","['beer', 'bread', 'carbs']","beer, sometimes dubbed liquid bread, is very high in carbs.",informationanddefinition,Can I drink beer?,[],['beer'],['beer']
9,"There are three main artificial pancreas systems being worked on by researchers: Closed-loop artificial pancreas Bionic pancreas Implanted artificial pancreas.""","['main', 'artificial', 'closed', 'artificial', 'bionic', 'artificial']","['pancreas systems', 'researchers', 'pancreas', 'pancreas.']","['pancreas', 'systems', 'researchers', 'loop', 'pancreas', 'pancreas', 'pancreas.']","there are three main artificial pancreas systems being worked on by researchers: closed-loop artificial pancreas bionic pancreas implanted artificial pancreas.""",informationanddefinition,Can I get an artificial pancreas?,['artificial'],['pancreas'],['pancreas']
442,There are three main artificial pancreas systems being worked on by researchers: Closed-loop artificial pancreas Bionic pancreas Implanted artificial pancreas.,"[main, artificial, closed, artificial, bionic, artificial]","[pancreas systems, researchers, pancreas, pancreas]","[pancreas, systems, researchers, loop, pancreas, pancreas, pancreas]",there are three main artificial pancreas systems being worked on by researchers: closed-loop artificial pancreas bionic pancreas implanted artificial pancreas.,informationanddefinition,Can I get an artificial pancreas?,[artificial],[pancreas],[pancreas]
8,"A diagnosis of Alström syndrome may be made based on presence of the symptoms. If confirmation is needed genetic testing can be used to identify mutation of the ALMS1 gene.""",[],"['diagnosis', 'alström syndrome', 'symptoms', 'presence']","['diagnosis', 'alström', 'syndrome', 'presence', 'symptoms']",a diagnosis of alström syndrome may be made based on presence of the symptoms.,diagnosis,How is Alström syndrome diagnosed?,[],"['syndrome', 'Alström']","['Alström', 'syndrome']"
441,A diagnosis of Alström syndrome may be made based on presence of the symptoms. If confirmation is needed genetic testing can be used to identify mutation of the ALMS1 gene.,[],"[diagnosis, alström syndrome, symptoms, presence]","[diagnosis, alström, syndrome, presence, symptoms]",a diagnosis of alström syndrome may be made based on presence of the symptoms.,diagnosis,How is Alström syndrome diagnosed?,[],"[syndrome, Alström]","[Alström, syndrome]"
6,"There are a number of common features of Alström syndrome which include: Eye problems: Including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) Hearing impairment Cardiomyopathy: Disorder of the heart muscle Obesity Insulin resistance and hyperinsulinemia: Leading to type 2 diabetes Hypertriglyceridaemia: Abnormally high triglyceride levels in the blood Renal dysfunction: Kidney disorders Heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10. Children with Alström syndrome will usually gain weight quickly despite eating healthily and diagnosis of type 2 diabetes within childhood is common. The features which a child develops as well as the severity of the symptoms can vary from child to child. Additional complications which can follow include: Bladder and bowel problems Bone and joint problems: Including arthritis Hypogonadism (low testosterone levels) Polycystic ovary syndrome (PCOS) Hypothyroidism: Underactive thyroid function.""","['common', 'retinal', 'progressive', 'involuntary', 'extreme', 'high', 'renal']","['features', 'alström syndrome', 'number', 'eye problems', 'degeneration', 'worsening', 'vision', 'disorder', 'hearing impairment cardiomyopathy', 'hyperinsulinemia', 'hypertriglyceridaemia', 'light', 'sensitivity', 'eye movements', 'photophobia', 'heart muscle obesity insulin resistance', 'diabetes', 'eye problems', 'nystagmus', 'heart', 'kidney disorders', 'birth', 'hearing problems', 'age', 'blood', 'dysfunction', 'triglyceride levels']","['number', 'features', 'alström', 'syndrome', 'eye', 'problems', 'degeneration', 'worsening', 'vision', 'nystagmus', 'eye', 'movements', 'photophobia', 'sensitivity', 'light', 'impairment', 'cardiomyopathy', 'disorder', 'heart', 'muscle', 'obesity', 'insulin', 'resistance', 'hyperinsulinemia', 'type', 'diabetes', 'hypertriglyceridaemia', 'triglyceride', 'levels', 'blood', 'dysfunction', 'kidney', 'disorders', 'heart', 'eye', 'problems', 'birth', 'problems', 'age']",there are a number of common features of alström syndrome which include: eye problems: including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) hearing impairment cardiomyopathy: disorder of the heart muscle obesity insulin resistance and hyperinsulinemia: leading to type 2 diabetes hypertriglyceridaemia: abnormally high triglyceride levels in the blood renal dysfunction: kidney disorders heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10.,manifestation,What does Alström Syndrome Symptoms includes?,[],"['Symptoms', 'Alström Syndrome']","['Alström', 'Syndrome', 'Symptoms']"
439,There are a number of common features of Alström syndrome which include: Eye problems: Including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) Hearing impairment Cardiomyopathy: Disorder of the heart muscle Obesity Insulin resistance and hyperinsulinemia: Leading to type 2 diabetes Hypertriglyceridaemia: Abnormally high triglyceride levels in the blood Renal dysfunction: Kidney disorders Heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10. Children with Alström syndrome will usually gain weight quickly despite eating healthily and diagnosis of type 2 diabetes within childhood is common. The features which a child develops as well as the severity of the symptoms can vary from child to child. Additional complications which can follow include: Bladder and bowel problems Bone and joint problems: Including arthritis Hypogonadism (low testosterone levels) Polycystic ovary syndrome (PCOS) Hypothyroidism: Underactive thyroid function.,"[common, retinal, progressive, involuntary, extreme, high, renal]","[features, alström syndrome, number, eye problems, degeneration, worsening, vision, disorder, hearing impairment cardiomyopathy, hyperinsulinemia, hypertriglyceridaemia, light, sensitivity, eye movements, photophobia, heart muscle obesity insulin resistance, diabetes, eye problems, nystagmus, heart, kidney disorders, birth, hearing problems, age, blood, dysfunction, triglyceride levels]","[number, features, alström, syndrome, eye, problems, degeneration, worsening, vision, nystagmus, eye, movements, photophobia, sensitivity, light, impairment, cardiomyopathy, disorder, heart, muscle, obesity, insulin, resistance, hyperinsulinemia, type, diabetes, hypertriglyceridaemia, triglyceride, levels, blood, dysfunction, kidney, disorders, heart, eye, problems, birth, problems, age]",there are a number of common features of alström syndrome which include: eye problems: including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) hearing impairment cardiomyopathy: disorder of the heart muscle obesity insulin resistance and hyperinsulinemia: leading to type 2 diabetes hypertriglyceridaemia: abnormally high triglyceride levels in the blood renal dysfunction: kidney disorders heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10.,manifestation,What does Alström Syndrome Symptoms includes?,[],"[Symptoms, Alström Syndrome]","[Alström, Syndrome, Symptoms]"
5,"Alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes. Most of the features of Alström syndrome are treatable although health complications of the condition are common. It is estimated that around 200 families in the UK may be affected by Alström syndrome.""","['rare', 'genetic', 'extreme', 'light']","['alström syndrome', 'number', 'features', 'sensitivity', 'hearing problems heart problems', 'type', 'obesity', 'diabetes']","['alström', 'syndrome', 'disorder', 'number', 'features', 'sensitivity', 'hearing', 'problems', 'heart', 'problems', 'obesity', 'type', 'diabetes']",alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes.,informationanddefinition,What is Alström Syndrome?,[],['Alström Syndrome'],"['Alström', 'Syndrome']"
438,Alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes. Most of the features of Alström syndrome are treatable although health complications of the condition are common. It is estimated that around 200 families in the UK may be affected by Alström syndrome.,"[rare, genetic, extreme, light]","[alström syndrome, number, features, sensitivity, hearing problems heart problems, type, obesity, diabetes]","[alström, syndrome, disorder, number, features, sensitivity, hearing, problems, heart, problems, obesity, type, diabetes]",alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes.,informationanddefinition,What is Alström Syndrome?,[],[Alström Syndrome],"[Alström, Syndrome]"
