QUESTION,ID
When was insulin first discovered?,0
How many types of insulin are there?,1
What determines the strengths of insulin?,2
What are insulin Additives and allergies?,3
How does alcohol affect Blood Sugar?,4
What is Alström Syndrome?,5
What does Alström Syndrome Symptoms includes?,6
what is the causes of Alström syndrome?,7
How is Alström syndrome diagnosed?,8
Can I get an artificial pancreas?,9
What is an artificial pancreas?,10
What is an Autoimmune Disease?,11
What causes the immune system to act this way?,12
What are the most common autoimmune diseases?,13
What are the symptoms of autoimmune diesease?,14
what is Binge Eating Disorders?,15
What counts as binge eating?,16
What can cause binge eating to take place?,17
How can hunger follow after recently eating?,18
Are there any body parts I shouldn’t get pierced?,19
How could bone marrow transplants treat type 1 diabetes?,20
How is a bone marrow transplant carried out?,21
Was bone marrow transplantation successful in treating type 1 diabetes?,22
How does brittle diabetes develop and what is it associated with?,23
Is brittle diabetes different from stable diabetes?,24
What is the life expectancy with brittle diabetes?,25
Is brittle diabetes common?,26
Will I get brittle diabetes?,27
How is brittle diabetes treated?,28
Can People with Diabetes Give Blood?,29
What are the conditions for giving blood?,30
How to care for Someone with Diabetes?,31
How to care for a child with diabetes?,32
How to care for a partner with diabetes?,33
How to care for an elderly person with diabetes?,34
What are the Causes of Type 1 Diabetes?,35
What are type 1 diabetes triggers?,36
What are the causes of Type 2 Diabetes?,37
what are risk factors for type 2 diabetes?,38
How is diabetes caused in children?,39
What symptoms do children with diabetes exhibit?,40
How are children with diabetes treated?,41
What can the parents of children with diabetes do?,42
how to control Type 1 Diabetes?,43
How to controlling Type 2 Diabetes?,44
How can blood glucose testing help?,45
What can we learn from an HbA1c test?,46
What are type 2 medications?,47
What are the cost of Diabetes?,48
what are the cost of diabetes complications?,49
what are C-peptide Test?,50
What is C-peptide?,51
Why is a c-peptide test done?,52
How is the test performed?,53
what does C-peptide test results show?,54
What is Critical Illness Cover?,55
Why do I need Critical Illness Cover?,56
Have Critical Illness products been available in the past?,57
How does Critical Illness for Diabetes work?,58
What does Critical Illness cost?,59
What is cystic fibrosis?,60
what are the symptoms of diabetes in cystic fibrosis?,61
what are the diagnosis of diabetes in cystic fibrosis?,62
what are the causes of Cystic fibrosis?,63
what are the treatment for Cystic fibrosis?,64
Waht are symptoms of dehydration?,65
What are the causes and contributory factors of dehydration?,66
What are symptoms of severe dehydration?,67
How does LADA compare with other diabetes types?,68
How common is LADA?,69
How is LADA diagnosed?,70
How is LADA treated?,71
What complications are related to LADA?,72
What is MODY diabetes?,73
Why is MODY inherited so easily?,74
Why does MODY differ from other strains of diabetes?,75
what is the relation between Diabetes and Alcohol?,76
What are the recommended alcohol guidelines for people with diabetes?,77
How much alcohol do drinks usually contain?,78
So if I have diabetes I can drink as usual?,79
What do I need to be careful of when it comes to diabetes and alcohol?,80
what is the relation between Diabetes and Amputation?,81
Why is Diabetes is a leading cause of amputation?,82
What factors lead to amputation?,83
How are these factors assessed?,84
What are major and minor amputations?,85
How should I identify a foot at risk from amputation?,86
What is the purpose of disability benefits?,87
What benefits are available to me?,88
what are Carbohydrate Controlled Diets?,89
What is a carbohydrate controlled diet?,90
what are Fixed carbohydrate intakes?,91
what are Restricted carbohydrate diets?,92
How do restricted carbohydrate diets work?,93
what is the relation between diabetes and Cholesterol?,94
What is cholesterol?,95
what are the Cholesterol targets for people with diabetes?,96
what are the Symptoms of high cholesterol?,97
What causes high cholesterol?,98
how does Diet affect cholesterol?,99
how to Diagnose high cholesterol?,100
how to Treat high cholesterol?,101
Do I need tablets (statins) for high cholesterol?,102
what is the relation between Diabetes and Coeliac Disease (Coeliac Sprue or Gluten Allergy)?,103
What symptoms are common in coeliac disease?,104
what is the relation Coeliac disease and children?,105
How large is the risk of coeliac disease in the UK?,106
What are the causes of coeliac disease?,107
Is there a link between diabetes and coeliac disease?,108
How will being coeliac affect my diabetes?,109
What diet should I use if I have coeliac disease and diabetes?,110
Who can I turn to for help and advice about diabetes and coeliac disease?,111
how is Diabetes and Dental Health related?,112
how is Diabetes and dental hygiene related?,113
how is Diabetes and gum diseases related?,114
What are the symptoms of dental health problems?,115
How could Dental treatment affect blood sugar levels?,116
what is the relation between Diabetes and Depression?,117
What exactly is depression?,118
How can depression affect my diabetes?,119
what is Diabulimia?,120
What are the signs of diabulimia?,121
How does diabulimia work?,122
How does diabulimia affect the body?,123
Will I lose my job if my diabetes causes me to have too much time off work?,124
Can my employer reduce my pay because of leave for my diabetes?,125
Do I need to inform the DVLA for my diabetes?,126
what the relationship between Diabetes and Employment?,127
Are some jobs more suitable for people with diabetes?,128
Are diabetics banned from doing some jobs?,129
what is the relation between Diabetes and Ethnicity?,130
what are interesting Ethnicity facts of diabetes?,131
how is Diabetes in India and China?,132
what is the relation between Diabetes and Extreme Sports?,133
What are extreme sports?,134
Why shouldn’t diabetics take part in extreme sports?,135
What should diabetics wishing to participate in extreme sports do?,136
what is the relation between Diabetes and Fitness?,137
what does Fitness and Exercise Guides do?,138
What is the best kind of physical activity to help prevent or manage diabetes?,139
what is Seize the moment?,140
What problems can hot weather cause for people with diabetes?,141
What are the hypo risks from hot weather?,142
What is hyperglycemia?,143
What causes hyperglycemia?,144
What are the symptoms of hyperglycemia?,145
Is hyperglycemia serious?,146
How to avoid and deal with hyperglycemia?,147
How does illness affect diabetes?,148
Which injection site is best?,149
What else affects how fast insulin enters the blood?,150
What are ketones?,151
How do I test for ketones?,152
Who needs to be aware of ketones?,153
Will I be able to lead a ‘normal’  life?,154
What are the risk factors for metabolic syndrome?,155
What are the symptoms of metabolic syndrome?,156
What if I have some of these symptoms?,157
What is metabolism?,158
How does insulin resistance lead to higher blood sugar levels?,159
What is nocturia?,160
what are the Causes of nocturia?,161
what is the relation between Diabetes and nocturia?,162
How can nocturia be treated?,163
what are the Links between obesity and type 2 diabetes?,164
How does obesity cause type 2 diabetes?,165
how to Make lifestyle changes?,166
what is the relation between Pregnancy and Diabetes?,167
How does smoking increase my heart disease risk as a diabetic?,168
What other diabetes complications will smoking affect?,169
What benefits could giving up smoking give to me as a diabetic?,170
What are stem cells?,171
What is stem cell research?,172
Where do stem cells come from?,173
how is Stem cells use in islet cell transplants?,174
What are the differences in diagnosing diabetes amongst the elderly when compared to diabetes amongst the young?,175
What are the differences in treatment of diabetes amongst the elderly when compared to diabetes amongst the young?,176
Are there increased risks when an elderly person develops diabetes?,177
Will diabetes treatment vary between each person?,178
how does Diabetes affect the Family?,179
Why might someone with diabetes need the help and support of their family?,180
How can one help relatives with diabetes?,181
What healthy changes should I encourage my relative to make?,182
What else can I do to help the diabetic or diabetics in my family?,183
Any other tips about diabetes and the family?,184
Someone in my family has diabetes; do I have a greater risk of developing it?,185
Do I need to be screened for diabetes if a family member is diagnosed?,186
What is the best weapon families can employ against diabetes?,187
Which diet will help me to lose weight?,188
How does exercise help diabetes and weight loss?,189
Could alternative weight loss therapies help?,190
Should I consider weight loss surgery?,191
what are the Causes of Diabetes?,192
what are Type 1 diabetes causes?,193
what are Type 2 diabetes causes?,194
what are Other diabetes causes?,195
what causes Gestational diabetes?,196
what are the Symptoms of charcot foot?,197
what are the Causes of charcot foot?,198
what are the Treatment for charcot foot?,199
what to do when Recovering from charcot foot?,200
what are Diabetes Checks?,201
what are Diabetes check ups for newly diagnosed people with diabetes?,202
What is stress?,203
What can cause stress?,204
How does stress affect my diabetes?,205
How do I know whether stress is affecting my glycemic control?,206
What is the fight-freeze or flight response?,207
How can I combat stress?,208
How does exercise help with stress?,209
How does mindfulness meditation alleviate stress?,210
What is a diabetes screening test?,211
What kind of conditions are usually related to diabetes?,212
Can some drugs cause diabetes?,213
What kind of problems could indicate diabetes?,214
what are Diabetes Drugs?,215
Diabetes Drugs:what is Insulin?,216
Diabetes Drugs: what are Biguanides / Metformin?,217
Diabetes Drugs: what are Sulphonylureas?,218
Diabetes Drugs: what are Meglitinides / Prandial glucose regulator / Glinides?,219
Diabetes Drugs: what are Alpha-glucosidase inhibitors?,220
Diabetes Drugs: what are Thiazolidinedione / Glitazones?,221
Diabetes Drugs: what are DPP-4 inhibitors / Gliptins?,222
Diabetes Drugs: what are Incretin mimetics / GLP-1 analogues?,223
Diabetes Drugs: what are Amylin analogues?,224
can I have a list of A-Z of diabetes drugs?,225
What causes erectile dysfunction amongst diabetics?,226
How is ED diagnosed?,227
Are there treatments for men with diabetes and erectile dysfunction?,228
What is prediabetes?,229
Does stress impact blood sugar levels?,230
How many carbs can I eat on the Low Carb Program?,231
Can I drink sugar free diet drinks?,232
Can I come off insulin?,233
How do I eat to my meter?,234
What is fibre and should I avoid it?,235
Why are my blood glucose levels high in the morning when I’m fasted?,236
How do I get started on the program?,237
Can I drink fruit juice?,238
What snacks can I eat?,239
What is glucagon?,240
What can I have for breakfast that doesn’t involve egg?,241
What can I have for breakfast that doesn’t involve bacon?,242
What can I have for breakfast that doesn’t involve dairy?,243
What can I have for breakfast?,244
Is low carb making me tired?,245
Is this program just for people with diabetes?,246
Can I eat Potato?,247
Can I eat sweet potato?,248
Can I eat cassava?,249
Can I eat yam?,250
Can I eat yuca?,251
Can I eat Chinese yam?,252
Can I eat crisps?,253
Can I eat cake?,254
Are there any low carb cakes?,255
Can I eat biscuits,256
Are there any low carb biscuits?,257
Can I eat cheesecake?,258
Are there any low carb cheesecake recipes?,259
Can I eat carrot cake?,260
Are there any low carb carrot cake recipes?,261
Can I eat cookies?,262
Are there any low carb cookies?,263
How do I add my blood sugar/glucose levels on the app?,264
Can I eat chicken nuggets?,265
Can I eat chocolate?,266
Which dark chocolate brands are good for low carb?,267
What coffee can I order from Starbucks?,268
How do I make a healthy habit stick?,269
Is raw sugar better than table sugar?,270
What is protein?,271
How much protein should I eat per day?,272
Will eating fat make me fat?,273
Can I drink beer?,274
Should I take a multivitamin?,275
Will sleep impact my blood sugar or weight?,276
Can I eat cereal?,277
Can I Cook with flour?,278
Can I eat pasta?,279
Can I eat whole wheat pasta?,280
Can I eat whole wheat flour?,281
Can I eat rice?,282
"Can I eat brown, whole grain rice?",283
Can I eat crackers?,284
Can I eat rice cakes?,285
Can I eat rye crackers,286
Can I eat margarine?,287
What is the glycaemic index? ,288
Should I follow a low glycaemic index diet?,289
Should I eat any foods for brain health?,290
Can I eat blueberries?,291
Can I eat eggs?,292
Can I eat avocado?,293
Will low carb help my libido?,294
Can food increase my testosterone levels,295
What is testosterone?,296
Is it safe for a child to be on a low carb diet?,297
What are statins?,298
"Ive been prescribed statins, should I take them?",299
Can I exercise intensely on a low carb diet,300
Is low carb just for people with type 2?,301
Can I use sweeteners?,302
Will low carb help to lower my sodium levels? ,303
Can low carb cause depression?,304
Will low carb help my epilepsy?,305
Will eating low carb cause nutrient deficiencies?,306
What are trans fats?,307
What do I do first on the program?,308
Should I sugar detox?,309
Does low carb cause thyroid problem?,310
Do I need to eat carbs before exercise?,311
What does no refined sugar mean?,312
Does food with no refined sugar have any sugar in?,313
Is unrefined sugar healthy?,314
Can I drink alcohol?,315
Can I drink wine?,316
Can I drink cocktails?,317
Will low carb reduce hunger and cravings?,318
Is grass fed meat and dairy better?,319
What is Omega 3?,320
Should I eat more Omega 6?,321
Do saturated fats cause heart disease?,322
Which foods contain saturated fats?,323
Which foods contain monounsaturated fat?,324
Which foods contain poly-unsaturated fats?,325
How do I get more vitamin C on low carb?,326
Does eating fat increase cholesterol levels?,327
Is fat essential?,328
Can I go low carb as a vegetarian?,329
Can I go low carb as a vegan?,330
Is a plant based diet safe whilst eating low carb?,331
Can I eat Pecans on a low carb diet?,332
Can I eat macadamia nuts?,333
Can I eat pine nuts?,334
Can I eat Brazil nuts?,335
Can I eat peanuts?,336
Can I eat cashews?,337
Can I eat pistachios?,338
What are medium-chain triglycerides? (MCT’s),339
Should I take medium chain triglycerides?,340
How do I get more vitamin D whilst on low carb?,341
Can I drink beer?,342
Is low carb good for your teeth?,343
Can low carb help Alzheimer’s? ,344
Can I drink milk?,345
Can I drink Almond milk?,346
Can I swap milk for cream in coffee?,347
Can I drink hemp milk?,348
Can I drink rice milk?,349
Can I drink oat milk?,350
Can I drink cashew milk?,351
Can I drink coconut milk?,352
Can I eat tomato soup?,353
Can low carb help my polycystic ovarian syndrome (PCOS)?,354
What is Polycystic ovarian syndrome(PCOS)?,355
