QUESTION,ID,ANSWER
When was insulin first discovered?,0,"It wasn’t until 1921 that insulin was physically extracted. This was done by a team from the University of Toronto which included Frederick Banting and J Macleod who were given the Nobel Prize in Physiology or Medicine in 1923."""
How many types of insulin are there?,1,"There are 4 types of insulin based on how soon the insulin starts working (onset) when it works the hardest (peak time) and how long it lasts in your body (duration). However each person responds to insulin in his or her own way.That is why onset peak time and duration are given as ranges. The types of insulin are: Rapid-acting insulin (Lispro) reaches the blood within 15 minutes after injection. It peaks 30 to 90 minutes later and may last as long as 5 hours. Short-acting (regular) insulin usually reaches the blood within 30 minutes after injection. It peaks 2 to 4 hours later and stays in the blood for about 4 to 8 hours. Intermediate acting (NPH and lente) insulins reach the blood 2 to 6 hours after injection. They peak 4 to 14 hours later and stay in the blood for about 14 to 20 hours. Long acting (ultralente) insulin takes 6 to 14 hours to start working. It has no peak or a very small peak 10 to 16 hours after injection. It stays in the blood between 20 and 24 hours.Some insulins come mixed together. For example you can buy regular and NPH insulins already mixed in one bottle. They make it easier to inject two kinds of insulin at the same time.However you can’t adjust the amount of one insulin without also changing how much you get of the other insulin."""
What determines the strengths of insulin?,2,"Insulins come dissolved in liquids at different strengths. Most people use U-100 insulin. This means it has 100 units of insulin per milliliter (ml) of fluid. Be sure that the syringe you use matches the insulin strength. U-100 insulin needs a U-100 syringe. In Europe and Latin America U-40 insulin is also used. If you’re outside the United States be certain to match your insulin strength with the correct size syringe."""
What are insulin Additives and allergies?,3,All insulins have added ingredients to keep them fresh and help them work better. Intermediate- and long-acting insulins also have ingredients to make them act longer. Today’s insulins are very pure. Allergic reactions are rare.
How does alcohol affect Blood Sugar?,4,"Alcohol can have a confusing effect on blood sugar levels because it prevents the liver from producing glucose. One consequence of this is that hypoglycemia can occur after a night of drinking. As a result people with diabetes are often advised to eat something to compensate for the expected drop in blood sugar levels. Alcohol does affect different people in different ways so if in doubt test your blood glucose to see how alcohol affects you. Some people may find it all too easy to let diabetes drift out of their mind when having alcohol and not worry too much about sugar levels. However it is advisable to test blood sugar levels whenever possible to get an idea of how different drinks affect your sugar levels."""
What is Alström Syndrome?,5,"Alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes. Most of the features of Alström syndrome are treatable although health complications of the condition are common. It is estimated that around 200 families in the UK may be affected by Alström syndrome."""
What does Alström Syndrome Symptoms includes?,6,"There are a number of common features of Alström syndrome which include: Eye problems: Including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) Hearing impairment Cardiomyopathy: Disorder of the heart muscle Obesity Insulin resistance and hyperinsulinemia: Leading to type 2 diabetes Hypertriglyceridaemia: Abnormally high triglyceride levels in the blood Renal dysfunction: Kidney disorders Heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10. Children with Alström syndrome will usually gain weight quickly despite eating healthily and diagnosis of type 2 diabetes within childhood is common. The features which a child develops as well as the severity of the symptoms can vary from child to child. Additional complications which can follow include: Bladder and bowel problems Bone and joint problems: Including arthritis Hypogonadism (low testosterone levels) Polycystic ovary syndrome (PCOS) Hypothyroidism: Underactive thyroid function."""
what is the causes of Alström syndrome?,7,"Alström syndrome is caused by a mutation in the ALMS1 gene. A mutation in this gene is known to affect a protein related to cilia minute whiskers which are present on the surface of cells. If each parent has a mutation in the ALMS1 gene there is a 1 in 4 chance that each child they have will develop Alström syndrome."""
How is Alström syndrome diagnosed?,8,"A diagnosis of Alström syndrome may be made based on presence of the symptoms. If confirmation is needed genetic testing can be used to identify mutation of the ALMS1 gene."""
Can I get an artificial pancreas?,9,"There are three main artificial pancreas systems being worked on by researchers: Closed-loop artificial pancreas Bionic pancreas Implanted artificial pancreas."""
What is an artificial pancreas?,10,"The system is still being tested for safety and effectiveness and as of 2016 home and clinical trials of the system have been completed in participants with both type 1 diabetes and type 2 diabetes. Research is being conducted worldwide and each team’s expertise to their respective products is helping to speed up the process of devices coming to market."""
What is an Autoimmune Disease?,11,"Autoimmune disease refers to illness or disorder that occurs when healthy tissue (cells) get destroyed by the body’s own immune system. The term autoimmune disease is one that many people with diabetes - in particular those with type 1 diabetes - will have come across or be familiar with. In the case of type 1 diabetes the disease-fighting system mistakes healthy cells in the pancreas for foreign harmful invaders and attacks them leaving the body unable to produce its own insulin and keep levels of blood glucose under control. There are more than 80 different types of autoimmune disease from multiple sclerosis and type 1 diabetes to coeliac disease and rheumatoid arthritis. The immune system is the body’s protection against harmful substances such as bacteria viruses and toxins all of which contain harmful antigens. To counter this the immune system produces and sends antibodies (special proteins) to identify destroy these antigens. However in some cases the immune system cannot distinguish between healthy harmless tissue and antigens and as a result it attacks and destroys normal tissue (in people with diabetes the cells mistakenly targeted are the insulin-producing beta cells in the pancreas). This autoimmune reaction (or ‘attack’) is what triggers the development of an autoimmune disease."""
What causes the immune system to act this way?,12,"The exact cause of autoimmune disease is unknown although there are many theories about what causes it to malfunction including: Bacteria or virus Drugs Chemical irritants Environmental irritants Studies have shown that autoimmune disorders often run in families and are much more common in women."""
What are the most common autoimmune diseases?,13,"Of the 80-plus autoimmune disorders the most common ones include: Addison’s disease - immune system attacks the adrenal gland disrupting production of steroid hormones aldosterone and cortisol. Coeliac disease - autoimmune attack on substances found inside gluten damages the surface of the small bowel disrupting the body’s ability to take in essential nutrients from food. Graves’ disease - the small thyroid gland is attacked by the immune system leading to an overproduction of the thyroid hormones (hyperthyroidism). Hashimoto’s thyroiditis or Hashimoto’s disease - similar to Graves’ disease but this time damage to the thyroid gland lead to an underactive thyroid gland (hypothyroidism). Multiple sclerosis - myelin sheaths which protect the nerve fibres carrying messages to and from the brain are targeted by the immune system causing behind scarring (known as sclerosis). Reactive arthritis - immune system is tricked into thinking a previous infection is still present and attacks healthy tissue causing it to become inflamed. Rheumatoid arthritis - cells that line your joints are targeted by the autoimmune reaction causing joints and surrounding tissues to become swollen stiff and painful. Systemic lupus erythematosus (SLE) - immune system targets healthy tissue causing inflammation of the skin and joints and can affect internal organs. Type 1 diabetes - immune system destroys cells within the pancreas that produce the blood sugar-regulating hormone insulin."""
What are the symptoms of autoimmune diesease?,14,"The symptoms of autoimmune disease vary between types but the common indicators are fatigue fever general malaise (feeling ill) joint pain and skin rash. Symptoms worsen during flare-ups and reduce during remission. The common and most noticeable signs of type 1 diabetes are: Increased thirst (polydipsia) Frequent/increased urination (polyuria) Extreme tiredness (fatigue) Sudden or unexplained weight loss"""
what is Binge Eating Disorders?,15,Binge eating is recognised as an eating disorder in which people feel compelled to overeat and feel powerless to be able to control their eating pattern. Binge eating may result from psychological reasons but can also result from rises and falls in blood glucose levels from eating food with high carbohydrate content.
What counts as binge eating?,16,"If you eat large amounts of food in a short period of time without feeling you are able to control your eating this is a sign of binge eating. Compulsive eating such as constantly needing to snack on high calorie foods between meal times is also a sign of binge eating."""
What can cause binge eating to take place?,17,"There are a number of psychological reasons which can trigger binge eating. The NHS state that around 50% of people that binge eat have had depression at some point in their life. Negative feelings including being stressed anxious sad helpless guilty or bored can cause people to eat as a conscious or unconscious way of momentarily blocking out the negative emotion. In some cases people may eat to amplify the negative feelings. Binge eating may also occur in people trying to lose weight through methods such as greatly restricted calorie content or missing meals which can lead to intense hunger and feeling a need to binge eat. It is common for binge eating to lead to other negative feelings such as guilt regret or further loss of control shortly after eating which can trigger a vicious circle of continued binge eating."""
How can hunger follow after recently eating?,18,"It is not unusual to experience hunger soon after eating snacks or meals with particularly fast acting carbohydrate content. Typical examples of foods with quickly absorbed carbohydrate include: Sugary foods Potato based foods Refined carbohydrates such as white bread white pasta and white rice When we eat quickly absorbed sources of carbohydrate our blood glucose levels will initially rise rapidly and should trigger our pancreas to release insulin. This usually presents problems for people with diabetes. In type 2 diabetes the body doesn’t respond as well as it should to insulin and so it takes longer for the body to produce sufficient insulin to cope with the rise in blood sugar. People with type 1 diabetes will inject insulin to help the body cope with the increase in blood sugar levels but when we eat fast acting carbohydrate it can take more than 2 hours for enough insulin to be absorbed to adequately cope with the increase in blood glucose levels. When our blood sugar levels rise to high levels and we don’t have sufficient insulin in our blood to cope it can often cause us to feel both tired and hungry and can therefore make us crave more food which can lead to vicious circle forming. Another reason for feeling intense hunger after consuming too much quick acting carbohydrate is that once our insulin has caught up the insulin may bring our blood glucose levels too low which frequently triggers strong feelings of hunger."""
Are there any body parts I shouldn’t get pierced?,19,"As someone with diabetes you should avoid areas with poor circulation such as: Ankles Shins Buttocks Or your favoured areas for insulin injection/shots. You should also choose a licensed or accredited body piercer to carry out the work and let them know about your condition so that they can tailor the procedure and aftercare tips to your needs."""
How could bone marrow transplants treat type 1 diabetes?,20,"Type 1 diabetes results from the body’s immune system targeting and killing its own beta cells which produce insulin in the pancreas.Even if people receive islet cell transplants their immune system will still try to kill off the transplanted cells so transplant recipients need to take immunosuppressive drugs to prevent or delay their transplanted cells being destroyed.Bone marrow transplantation is an attempt to reset the body’s immune system to no longer attack the pancreas’s insulin producing cells."""
How is a bone marrow transplant carried out?,21,"The process detailed follows that used by Dr Julio Voltarelli. The first stage was to remove a sample of stem cells from the patient’s existing bone marrow. The next stage involved the patients receiving a high dosage of immunosuppressive drugs to destroy the immune system in the body. With no immune system to defend the body patients were kept in isolation away from sources of infection. The bone marrow stem cells were then transplanted back within the bone marrow."""
