ID,QUESTION,Class
0,When was insulin first discovered?,informationanddefinition
1,How many types of insulin are there?,informationanddefinition
2,What determines the strengths of insulin?,informationanddefinition
3,What are insulin Additives and allergies?,informationanddefinition
4,How does alcohol affect Blood Sugar?,complications
5,What is Alström Syndrome?,informationanddefinition
6,What does Alström Syndrome Symptoms includes?,manifestation
7,what is the causes of Alström syndrome?,cause
8,How is Alström syndrome diagnosed?,diagnosis
9,Can I get an artificial pancreas?,informationanddefinition
10,What is an artificial pancreas?,informationanddefinition
11,What is an Autoimmune Disease?,informationanddefinition
12,What causes the immune system to act this way?,cause
13,What are the most common autoimmune diseases?,informationanddefinition
14,What are the symptoms of autoimmune diesease?,manifestation
15,what is Binge Eating Disorders?,informationanddefinition
16,What counts as binge eating?,informationanddefinition
17,What can cause binge eating to take place?,cause
18,How can hunger follow after recently eating?,informationanddefinition
19,Are there any body parts I shouldn’t get pierced?,informationanddefinition
20,How could bone marrow transplants treat type 1 diabetes?,management
21,How is a bone marrow transplant carried out?,informationanddefinition
22,Was bone marrow transplantation successful in treating type 1 diabetes?,management
23,How does brittle diabetes develop and what is it associated with?,diagnosis
24,Is brittle diabetes different from stable diabetes?,informationanddefinition
25,What is the life expectancy with brittle diabetes?,informationanddefinition
26,Is brittle diabetes common?,informationanddefinition
27,Will I get brittle diabetes?,informationanddefinition
28,How is brittle diabetes treated?,management
29,Can People with Diabetes Give Blood?,informationanddefinition
30,What are the conditions for giving blood?,informationanddefinition
31,How to care for Someone with Diabetes?,management
32,How to care for a child with diabetes?,management
33,How to care for a partner with diabetes?,management
34,How to care for an elderly person with diabetes?,management
35,What are the Causes of Type 1 Diabetes?,cause
36,What are type 1 diabetes triggers?,cause
37,What are the causes of Type 2 Diabetes?,cause
38,what are risk factors for type 2 diabetes?,complications
39,How is diabetes caused in children?,cause
40,What symptoms do children with diabetes exhibit?,manifestation
41,How are children with diabetes treated?,management
42,What can the parents of children with diabetes do?,informationanddefinition
43,how to control Type 1 Diabetes?,management
44,How to controlling Type 2 Diabetes?,management
45,What can we learn from an HbA1c test?,diagnosis
46,What are type 2 medications?,informationanddefinition
47,What are the cost of Diabetes?,informationanddefinition
48,what are the cost of diabetes complications?,informationanddefinition
49,what are C-peptide Test?,diagnosis
50,What is C-peptide?,informationanddefinition
51,Why is a c-peptide test done?,diagnosis
52,How is the test performed?,diagnosis
53,what does C-peptide test results show?,diagnosis
54,What is Critical Illness Cover?,informationanddefinition
55,Why do I need Critical Illness Cover?,informationanddefinition
56,Have Critical Illness products been available in the past?,informationanddefinition
57,How does Critical Illness for Diabetes work?,informationanddefinition
58,What does Critical Illness cost?,informationanddefinition
59,What is cystic fibrosis?,informationanddefinition
60,what are the symptoms of diabetes in cystic fibrosis?,manifestation
61,what are the diagnosis of diabetes in cystic fibrosis?,diagnosis
62,what are the causes of Cystic fibrosis?,cause
63,what are the treatment for Cystic fibrosis?,management
64,Waht are symptoms of dehydration?,manifestation
65,What are the causes and contributory factors of dehydration?,cause
66,What are symptoms of severe dehydration?,manifestation
67,How does LADA compare with other diabetes types?,informationanddefinition
68,How common is LADA?,informationanddefinition
69,How is LADA diagnosed?,diagnosis
70,How is LADA treated?,management
71,What complications are related to LADA?,complications
72,What is MODY diabetes?,informationanddefinition
73,Why is MODY inherited so easily?,informationanddefinition
74,Why does MODY differ from other strains of diabetes?,informationanddefinition
75,what is the relation between Diabetes and Alcohol?,complications
76,What are the recommended alcohol guidelines for people with diabetes?,informationanddefinition
77,How much alcohol do drinks usually contain?,informationanddefinition
78,So if I have diabetes I can drink as usual?,informationanddefinition
79,What do I need to be careful of when it comes to diabetes and alcohol?,management
80,what is the relation between Diabetes and Amputation?,complications
81,Why is Diabetes is a leading cause of amputation?,cause
82,What factors leads to amputation?,cause
83,How are these factors assessed?,informationanddefinition
84,What are major and minor amputations?,informationanddefinition
85,How should I identify a foot at risk from amputation?,diagnosis
86,What is the purpose of disability benefits?,informationanddefinition
87,What benefits are available to me?,informationanddefinition
88,what are Carbohydrate Controlled Diets?,management
89,What is a carbohydrate controlled diet?,management
90,what are Fixed carbohydrate intakes?,informationanddefinition
91,what are Restricted carbohydrate diets?,informationanddefinition
92,How do restricted carbohydrate diets work?,informationanddefinition
93,what is the relation between diabetes and Cholesterol?,complications
94,What is cholesterol?,informationanddefinition
95,what are the Cholesterol targets for people with diabetes?,informationanddefinition
96,what are the Symptoms of high cholesterol?,manifestation
97,What causes high cholesterol?,cause
98,how does Diet affect cholesterol?,complications
99,how to Diagnose high cholesterol?,diagnosis
100,how to Treat high cholesterol?,management
101,Do I need tablets (statins) for high cholesterol?,informationanddefinition
102,what is the relation between Diabetes and Coeliac Disease (Coeliac Sprue or Gluten Allergy)?,complications
103,What symptoms are common in coeliac disease?,manifestation
104,what is the relation Coeliac disease and children?,complications
105,How large is the risk of coeliac disease in the UK?,complications
106,What are the causes of coeliac disease?,cause
107,Is there a link between diabetes and coeliac disease?,complications
108,How will being coeliac affect my diabetes?,complications
109,What diet should I use if I have coeliac disease and diabetes?,informationanddefinition
110,Who can I turn to for help and advice about diabetes and coeliac disease?,management
111,how is Diabetes and Dental Health related?,informationanddefinition
112,how is Diabetes and dental hygiene related?,informationanddefinition
113,how is Diabetes and gum diseases related?,informationanddefinition
114,What are the symptoms of dental health problems?,manifestation
115,How could Dental treatment affect blood sugar levels?,complications
116,what is the relation between Diabetes and Depression?,complications
117,What exactly is depression?,informationanddefinition
118,How can depression affect my diabetes?,complications
119,what is Diabulimia?,informationanddefinition
120,What are the signs of diabulimia?,manifestation
121,How does diabulimia work?,informationanddefinition
122,How does diabulimia affect the body?,complications
123,Will I lose my job if my diabetes causes me to have too much time off work?,informationanddefinition
124,Can my employer reduce my pay because of leave for my diabetes?,informationanddefinition
125,Do I need to inform the DVLA for my diabetes?,informationanddefinition
126,what the relationship between Diabetes and Employment?,complications
127,Are some jobs more suitable for people with diabetes?,informationanddefinition
128,Are diabetics banned from doing some jobs?,informationanddefinition
129,what is the relation between Diabetes and Ethnicity?,complications
130,what are interesting Ethnicity facts of diabetes?,informationanddefinition
131,how is Diabetes in India and China?,informationanddefinition
132,what is the relation between Diabetes and Extreme Sports?,complications
133,What are extreme sports?,informationanddefinition
134,Why shouldn’t diabetics take part in extreme sports?,informationanddefinition
135,What should diabetics wishing to participate in extreme sports do?,informationanddefinition
136,what is the relation between Diabetes and Fitness?,complications
137,what does Fitness and Exercise Guides do?,informationanddefinition
138,What is the best kind of physical activity to help prevent or manage diabetes?,management
139,what is Seize the moment?,informationanddefinition
140,What problems can hot weather cause for people with diabetes?,complications
141,What are the hypo risks from hot weather?,complications
142,What is hyperglycemia?,informationanddefinition
143,What causes hyperglycemia?,cause
144,What are the symptoms of hyperglycemia?,manifestation
145,Is hyperglycemia serious?,informationanddefinition
146,How to avoid and deal with hyperglycemia?,management
147,How does illness affect diabetes?,complications
148,Which injection site is best?,informationanddefinition
149,What else affects how fast insulin enters the blood?,complications
150,What are ketones?,informationanddefinition
151,How do I test for ketones?,diagnosis
152,Who needs to be aware of ketones?,informationanddefinition
153,Will I be able to lead a ‘normal’  life?,informationanddefinition
154,What are the risk factors for metabolic syndrome?,complications
155,What are the symptoms of metabolic syndrome?,manifestation
156,What if I have some of these symptoms?,manifestation
157,What is metabolism?,informationanddefinition
158,How does insulin resistance lead to higher blood sugar levels?,complications
159,What is nocturia?,informationanddefinition
160,what are the Causes of nocturia?,cause
161,what is the relation between Diabetes and nocturia?,complications
162,How can nocturia be treated?,management
163,what are the Links between obesity and type 2 diabetes?,complications
164,How does obesity cause type 2 diabetes?,cause
165,how to Make lifestyle changes?,informationanddefinition
166,what is the relation between Pregnancy and Diabetes?,complications
167,How does smoking increase my heart disease risk as a diabetic?,complications
168,What other diabetes complications will smoking affect?,complications
169,What benefits could giving up smoking give to me as a diabetic?,informationanddefinition
170,What are stem cells?,informationanddefinition
171,What is stem cell research?,informationanddefinition
172,Where do stem cells come from?,informationanddefinition
173,how is Stem cells use in islet cell transplants?,informationanddefinition
174,What are the differences in diagnosing diabetes amongst the elderly when compared to diabetes amongst the young?,diagnosis
175,What are the differences in treatment of diabetes amongst the elderly when compared to diabetes amongst the young?,management
176,Are there increased risks when an elderly person develops diabetes?,complications
177,Will diabetes treatment vary between each person?,management
178,how does Diabetes affect the Family?,complications
179,Why might someone with diabetes need the help and support of their family?,management
180,How can one help relatives with diabetes?,management
181,What healthy changes should I encourage my relative to make?,complications
182,What else can I do to help the diabetic or diabetics in my family?,management
183,Any other tips about diabetes and the family?,informationanddefinition
184,Someone in my family has diabetes; do I have a greater risk of developing it?,complications
185,Do I need to be screened for diabetes if a family member is diagnosed?,diagnosis
186,What is the best weapon families can employ against diabetes?,informationanddefinition
187,Which diet will help me to lose weight?,management
188,How does exercise help diabetes and weight loss?,management
189,Could alternative weight loss therapies help?,management
190,Should I consider weight loss surgery?,informationanddefinition
191,what are the Causes of Diabetes?,cause
192,what are Type 1 diabetes causes?,cause
193,what are Type 2 diabetes causes?,cause
194,what are Other diabetes causes?,cause
195,what causes Gestational diabetes?,cause
196,what are the Symptoms of charcot foot?,manifestation
197,what are the Causes of charcot foot?,cause
198,what are the Treatment for charcot foot?,management
199,what to do when Recovering from charcot foot?,informationanddefinition
200,what are Diabetes Checks?,informationanddefinition
201,what are Diabetes check ups for newly diagnosed people with diabetes?,diagnosis
202,What is stress?,informationanddefinition
203,What can cause stress?,cause
204,How does stress affect my diabetes?,complications
205,What is the fight-freeze or flight response?,informationanddefinition
206,How can I combat stress?,informationanddefinition
207,How does exercise help with stress?,management
208,How does mindfulness meditation alleviate stress?,informationanddefinition
209,What is a diabetes screening test?,diagnosis
210,What kind of conditions are usually related to diabetes?,informationanddefinition
211,Can some drugs cause diabetes?,cause
212,What kind of problems could indicate diabetes?,manifestation
213,what are Diabetes Drugs?,management
214,Diabetes Drugs:what is Insulin?,management
215,Diabetes Drugs: what are Biguanides / Metformin?,management
216,Diabetes Drugs: what are Sulphonylureas?,management
217,Diabetes Drugs: what are Meglitinides / Prandial glucose regulator / Glinides?,management
218,Diabetes Drugs: what are Alpha-glucosidase inhibitors?,management
219,Diabetes Drugs: what are Thiazolidinedione / Glitazones?,management
220,Diabetes Drugs: what are DPP-4 inhibitors / Gliptins?,management
221,Diabetes Drugs: what are Incretin mimetics / GLP-1 analogues?,management
222,Diabetes Drugs: what are Amylin analogues?,management
223,can I have a list of A-Z of diabetes drugs?,management
224,What causes erectile dysfunction amongst diabetics?,cause
225,How is ED diagnosed?,diagnosis
226,Are there treatments for men with diabetes and erectile dysfunction?,management
227,What is prediabetes?,informationanddefinition
228,Does stress impact blood sugar levels?,informationanddefinition
229,How many carbs can I eat on the Low Carb Program?,informationanddefinition
230,Can I drink sugar free diet drinks?,informationanddefinition
231,Can I come off insulin?,informationanddefinition
232,How do I eat to my meter?,informationanddefinition
233,What is fibre and should I avoid it?,management
234,Why are my blood glucose levels high in the morning when I’m fasted?,informationanddefinition
235,How do I get started on the program?,informationanddefinition
236,Can I drink fruit juice?,informationanddefinition
237,What snacks can I eat?,informationanddefinition
238,What is glucagon?,informationanddefinition
239,What can I have for breakfast that doesn’t involve egg?,informationanddefinition
