ID,ANSWER,AnswerAdjectives,AnswerEntities,AnswerNouns,Answerfirstsent,CLASS,QUESTION,QuestionsAdjectives,QuestionsEntities,QuestionsNouns
0,"It wasn’t until 1921 that insulin was physically extracted. This was done by a team from the University of Toronto which included Frederick Banting and J Macleod who were given the Nobel Prize in Physiology or Medicine in 1923.""",[],['insulin'],['insulin'],it wasn’t until 1921 that insulin was physically extracted.,informationanddefinition,When was insulin first discovered?,[],['insulin'],['insulin']
1,"There are 4 types of insulin based on how soon the insulin starts working (onset) when it works the hardest (peak time) and how long it lasts in your body (duration). However each person responds to insulin in his or her own way.That is why onset peak time and duration are given as ranges. The types of insulin are: Rapid-acting insulin (Lispro) reaches the blood within 15 minutes after injection. It peaks 30 to 90 minutes later and may last as long as 5 hours. Short-acting (regular) insulin usually reaches the blood within 30 minutes after injection. It peaks 2 to 4 hours later and stays in the blood for about 4 to 8 hours. Intermediate acting (NPH and lente) insulins reach the blood 2 to 6 hours after injection. They peak 4 to 14 hours later and stay in the blood for about 14 to 20 hours. Long acting (ultralente) insulin takes 6 to 14 hours to start working. It has no peak or a very small peak 10 to 16 hours after injection. It stays in the blood between 20 and 24 hours.Some insulins come mixed together. For example you can buy regular and NPH insulins already mixed in one bottle. They make it easier to inject two kinds of insulin at the same time.However you can’t adjust the amount of one insulin without also changing how much you get of the other insulin.""",['peak'],"['insulin', 'types', 'insulin', 'body', 'duration']","['types', 'insulin', 'insulin', 'onset', 'time', 'body', 'duration']",there are 4 types of insulin based on how soon the insulin starts working (onset) when it works the hardest (peak time) and how long it lasts in your body (duration).,informationanddefinition,How many types of insulin are there?,['many'],"['types', 'insulin']","['types', 'insulin']"
2,"Insulins come dissolved in liquids at different strengths. Most people use U-100 insulin. This means it has 100 units of insulin per milliliter (ml) of fluid. Be sure that the syringe you use matches the insulin strength. U-100 insulin needs a U-100 syringe. In Europe and Latin America U-40 insulin is also used. If you’re outside the United States be certain to match your insulin strength with the correct size syringe.""",['different'],"['insulins', 'liquids', 'strengths']","['insulins', 'liquids', 'strengths']",insulins come dissolved in liquids at different strengths.,informationanddefinition,What determines the strengths of insulin?,[],"['strengths', 'insulin']","['strengths', 'insulin']"
3,All insulins have added ingredients to keep them fresh and help them work better. Intermediate- and long-acting insulins also have ingredients to make them act longer. Today’s insulins are very pure. Allergic reactions are rare.,['fresh'],"['insulins', 'ingredients']","['insulins', 'ingredients']",all insulins have added ingredients to keep them fresh and help them work better.,informationanddefinition,What are insulin Additives and allergies?,[],"['insulin Additives', 'allergies']","['insulin', 'Additives', 'allergies']"
4,"Alcohol can have a confusing effect on blood sugar levels because it prevents the liver from producing glucose. One consequence of this is that hypoglycemia can occur after a night of drinking. As a result people with diabetes are often advised to eat something to compensate for the expected drop in blood sugar levels. Alcohol does affect different people in different ways so if in doubt test your blood glucose to see how alcohol affects you. Some people may find it all too easy to let diabetes drift out of their mind when having alcohol and not worry too much about sugar levels. However it is advisable to test blood sugar levels whenever possible to get an idea of how different drinks affect your sugar levels.""",['confusing'],"['alcohol', 'blood sugar levels', 'effect', 'glucose', 'liver']","['alcohol', 'effect', 'blood', 'sugar', 'levels', 'liver', 'glucose']",alcohol can have a confusing effect on blood sugar levels because it prevents the liver from producing glucose.,complications,How does alcohol affect Blood Sugar?,[],"['alcohol', 'Blood Sugar']","['alcohol', 'Blood', 'Sugar']"
5,"Alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes. Most of the features of Alström syndrome are treatable although health complications of the condition are common. It is estimated that around 200 families in the UK may be affected by Alström syndrome.""","['rare', 'genetic', 'extreme', 'light']","['alström syndrome', 'number', 'features', 'sensitivity', 'hearing problems heart problems', 'type', 'obesity', 'diabetes']","['alström', 'syndrome', 'disorder', 'number', 'features', 'sensitivity', 'hearing', 'problems', 'heart', 'problems', 'obesity', 'type', 'diabetes']",alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes.,informationanddefinition,What is Alström Syndrome?,[],['Alström Syndrome'],"['Alström', 'Syndrome']"
6,"There are a number of common features of Alström syndrome which include: Eye problems: Including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) Hearing impairment Cardiomyopathy: Disorder of the heart muscle Obesity Insulin resistance and hyperinsulinemia: Leading to type 2 diabetes Hypertriglyceridaemia: Abnormally high triglyceride levels in the blood Renal dysfunction: Kidney disorders Heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10. Children with Alström syndrome will usually gain weight quickly despite eating healthily and diagnosis of type 2 diabetes within childhood is common. The features which a child develops as well as the severity of the symptoms can vary from child to child. Additional complications which can follow include: Bladder and bowel problems Bone and joint problems: Including arthritis Hypogonadism (low testosterone levels) Polycystic ovary syndrome (PCOS) Hypothyroidism: Underactive thyroid function.""","['common', 'retinal', 'progressive', 'involuntary', 'extreme', 'high', 'renal']","['features', 'alström syndrome', 'number', 'eye problems', 'degeneration', 'worsening', 'vision', 'disorder', 'hearing impairment cardiomyopathy', 'hyperinsulinemia', 'hypertriglyceridaemia', 'light', 'sensitivity', 'eye movements', 'photophobia', 'heart muscle obesity insulin resistance', 'diabetes', 'eye problems', 'nystagmus', 'heart', 'kidney disorders', 'birth', 'hearing problems', 'age', 'blood', 'dysfunction', 'triglyceride levels']","['number', 'features', 'alström', 'syndrome', 'eye', 'problems', 'degeneration', 'worsening', 'vision', 'nystagmus', 'eye', 'movements', 'photophobia', 'sensitivity', 'light', 'impairment', 'cardiomyopathy', 'disorder', 'heart', 'muscle', 'obesity', 'insulin', 'resistance', 'hyperinsulinemia', 'type', 'diabetes', 'hypertriglyceridaemia', 'triglyceride', 'levels', 'blood', 'dysfunction', 'kidney', 'disorders', 'heart', 'eye', 'problems', 'birth', 'problems', 'age']",there are a number of common features of alström syndrome which include: eye problems: including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) hearing impairment cardiomyopathy: disorder of the heart muscle obesity insulin resistance and hyperinsulinemia: leading to type 2 diabetes hypertriglyceridaemia: abnormally high triglyceride levels in the blood renal dysfunction: kidney disorders heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10.,manifestation,What does Alström Syndrome Symptoms includes?,[],"['Symptoms', 'Alström Syndrome']","['Alström', 'Syndrome', 'Symptoms']"
7,"Alström syndrome is caused by a mutation in the ALMS1 gene. A mutation in this gene is known to affect a protein related to cilia minute whiskers which are present on the surface of cells. If each parent has a mutation in the ALMS1 gene there is a 1 in 4 chance that each child they have will develop Alström syndrome.""",[],"['alström syndrome', 'mutation', 'gene']","['alström', 'syndrome', 'mutation', 'alms1', 'gene']",alström syndrome is caused by a mutation in the alms1 gene.,cause,what is the causes of Alström syndrome?,[],"['causes', 'Alström', 'syndrome']","['causes', 'Alström', 'syndrome']"
8,"A diagnosis of Alström syndrome may be made based on presence of the symptoms. If confirmation is needed genetic testing can be used to identify mutation of the ALMS1 gene.""",[],"['diagnosis', 'alström syndrome', 'symptoms', 'presence']","['diagnosis', 'alström', 'syndrome', 'presence', 'symptoms']",a diagnosis of alström syndrome may be made based on presence of the symptoms.,diagnosis,How is Alström syndrome diagnosed?,[],"['syndrome', 'Alström']","['Alström', 'syndrome']"
9,"There are three main artificial pancreas systems being worked on by researchers: Closed-loop artificial pancreas Bionic pancreas Implanted artificial pancreas.""","['main', 'artificial', 'closed', 'artificial', 'bionic', 'artificial']","['pancreas systems', 'researchers', 'pancreas', 'pancreas.']","['pancreas', 'systems', 'researchers', 'loop', 'pancreas', 'pancreas', 'pancreas.']","there are three main artificial pancreas systems being worked on by researchers: closed-loop artificial pancreas bionic pancreas implanted artificial pancreas.""",informationanddefinition,Can I get an artificial pancreas?,['artificial'],['pancreas'],['pancreas']
10,"The system is still being tested for safety and effectiveness and as of 2016 home and clinical trials of the system have been completed in participants with both type 1 diabetes and type 2 diabetes. Research is being conducted worldwide and each team’s expertise to their respective products is helping to speed up the process of devices coming to market.""",['clinical'],"['system', 'safety', 'effectiveness', 'system', 'trials', 'home', 'diabetes', 'diabetes', 'participants']","['system', 'safety', 'effectiveness', 'home', 'trials', 'system', 'participants', 'type', 'diabetes', 'type', 'diabetes']",the system is still being tested for safety and effectiveness and as of 2016 home and clinical trials of the system have been completed in participants with both type 1 diabetes and type 2 diabetes.,informationanddefinition,What is an artificial pancreas?,['artificial'],['pancreas'],['pancreas']
11,"Autoimmune disease refers to illness or disorder that occurs when healthy tissue (cells) get destroyed by the body’s own immune system. The term autoimmune disease is one that many people with diabetes - in particular those with type 1 diabetes - will have come across or be familiar with. In the case of type 1 diabetes the disease-fighting system mistakes healthy cells in the pancreas for foreign harmful invaders and attacks them leaving the body unable to produce its own insulin and keep levels of blood glucose under control. There are more than 80 different types of autoimmune disease from multiple sclerosis and type 1 diabetes to coeliac disease and rheumatoid arthritis. The immune system is the body’s protection against harmful substances such as bacteria viruses and toxins all of which contain harmful antigens. To counter this the immune system produces and sends antibodies (special proteins) to identify destroy these antigens. However in some cases the immune system cannot distinguish between healthy harmless tissue and antigens and as a result it attacks and destroys normal tissue (in people with diabetes the cells mistakenly targeted are the insulin-producing beta cells in the pancreas). This autoimmune reaction (or ‘attack’) is what triggers the development of an autoimmune disease.""","['autoimmune', 'healthy', 'own', 'immune']","['illness', 'autoimmune disease', 'tissue', 'disorder', 'cells', 'body', 'immune system']","['disease', 'illness', 'disorder', 'tissue', 'cells', 'body', 'system']",autoimmune disease refers to illness or disorder that occurs when healthy tissue (cells) get destroyed by the body’s own immune system.,informationanddefinition,What is an Autoimmune Disease?,['Autoimmune'],['Autoimmune Disease'],['Disease']
12,"The exact cause of autoimmune disease is unknown although there are many theories about what causes it to malfunction including: Bacteria or virus Drugs Chemical irritants Environmental irritants Studies have shown that autoimmune disorders often run in families and are much more common in women.""","['exact', 'autoimmune', 'unknown', 'many', 'chemical', 'environmental', 'autoimmune', 'common']","['cause', 'autoimmune disease', 'irritants', 'malfunction', 'bacteria', 'theories', 'virus drugs', 'irritants studies', 'families', 'autoimmune disorders']","['cause', 'disease', 'theories', 'malfunction', 'bacteria', 'virus', 'drugs', 'irritants', 'irritants', 'studies', 'disorders', 'families', 'women.']","the exact cause of autoimmune disease is unknown although there are many theories about what causes it to malfunction including: bacteria or virus drugs chemical irritants environmental irritants studies have shown that autoimmune disorders often run in families and are much more common in women.""",cause,What causes the immune system to act this way?,['immune'],"['immune system', 'way']","['system', 'way']"
13,"Of the 80-plus autoimmune disorders the most common ones include: Addison’s disease - immune system attacks the adrenal gland disrupting production of steroid hormones aldosterone and cortisol. Coeliac disease - autoimmune attack on substances found inside gluten damages the surface of the small bowel disrupting the body’s ability to take in essential nutrients from food. Graves’ disease - the small thyroid gland is attacked by the immune system leading to an overproduction of the thyroid hormones (hyperthyroidism). Hashimoto’s thyroiditis or Hashimoto’s disease - similar to Graves’ disease but this time damage to the thyroid gland lead to an underactive thyroid gland (hypothyroidism). Multiple sclerosis - myelin sheaths which protect the nerve fibres carrying messages to and from the brain are targeted by the immune system causing behind scarring (known as sclerosis). Reactive arthritis - immune system is tricked into thinking a previous infection is still present and attacks healthy tissue causing it to become inflamed. Rheumatoid arthritis - cells that line your joints are targeted by the autoimmune reaction causing joints and surrounding tissues to become swollen stiff and painful. Systemic lupus erythematosus (SLE) - immune system targets healthy tissue causing inflammation of the skin and joints and can affect internal organs. Type 1 diabetes - immune system destroys cells within the pancreas that produce the blood sugar-regulating hormone insulin.""","['plus', 'autoimmune', 'common', 'immune', 'adrenal']","['autoimmune disorders', 'ones', 'immune system', 'steroid hormones aldosterone', 'addison', 'cortisol', 'gland', 'production']","['disorders', 'ones', 'addison', 'disease', 'system', 'gland', 'production', 'steroid', 'hormones', 'aldosterone', 'cortisol']",of the 80-plus autoimmune disorders the most common ones include: addison’s disease - immune system attacks the adrenal gland disrupting production of steroid hormones aldosterone and cortisol.,informationanddefinition,What are the most common autoimmune diseases?,"['common', 'autoimmune']",['autoimmune diseases'],['diseases']
