ID,QUESTION,CLASS,ANSWER,Answerfirstsent,AnswerAdjectives,AnswerNouns,AnswerEntities,QuestionsAdjectives,QuestionsNouns,QuestionsEntities
0,When was insulin first discovered?,informationanddefinition,"It wasn’t until 1921 that insulin was physically extracted. This was done by a team from the University of Toronto which included Frederick Banting and J Macleod who were given the Nobel Prize in Physiology or Medicine in 1923.""",it wasn’t until 1921 that insulin was physically extracted.,[],['insulin'],['insulin'],[],['insulin'],['insulin']
1,How many types of insulin are there?,informationanddefinition,"There are 4 types of insulin based on how soon the insulin starts working (onset) when it works the hardest (peak time) and how long it lasts in your body (duration). However each person responds to insulin in his or her own way.That is why onset peak time and duration are given as ranges. The types of insulin are: Rapid-acting insulin (Lispro) reaches the blood within 15 minutes after injection. It peaks 30 to 90 minutes later and may last as long as 5 hours. Short-acting (regular) insulin usually reaches the blood within 30 minutes after injection. It peaks 2 to 4 hours later and stays in the blood for about 4 to 8 hours. Intermediate acting (NPH and lente) insulins reach the blood 2 to 6 hours after injection. They peak 4 to 14 hours later and stay in the blood for about 14 to 20 hours. Long acting (ultralente) insulin takes 6 to 14 hours to start working. It has no peak or a very small peak 10 to 16 hours after injection. It stays in the blood between 20 and 24 hours.Some insulins come mixed together. For example you can buy regular and NPH insulins already mixed in one bottle. They make it easier to inject two kinds of insulin at the same time.However you can’t adjust the amount of one insulin without also changing how much you get of the other insulin.""",there are 4 types of insulin based on how soon the insulin starts working (onset) when it works the hardest (peak time) and how long it lasts in your body (duration).,['peak'],"['types', 'insulin', 'insulin', 'onset', 'time', 'body', 'duration']","['insulin', 'types', 'insulin', 'body', 'duration']",['many'],"['types', 'insulin']","['types', 'insulin']"
2,What determines the strengths of insulin?,informationanddefinition,"Insulins come dissolved in liquids at different strengths. Most people use U-100 insulin. This means it has 100 units of insulin per milliliter (ml) of fluid. Be sure that the syringe you use matches the insulin strength. U-100 insulin needs a U-100 syringe. In Europe and Latin America U-40 insulin is also used. If you’re outside the United States be certain to match your insulin strength with the correct size syringe.""",insulins come dissolved in liquids at different strengths.,['different'],"['insulins', 'liquids', 'strengths']","['insulins', 'liquids', 'strengths']",[],"['strengths', 'insulin']","['strengths', 'insulin']"
3,What are insulin Additives and allergies?,informationanddefinition,All insulins have added ingredients to keep them fresh and help them work better. Intermediate- and long-acting insulins also have ingredients to make them act longer. Today’s insulins are very pure. Allergic reactions are rare.,all insulins have added ingredients to keep them fresh and help them work better.,['fresh'],"['insulins', 'ingredients']","['insulins', 'ingredients']",[],"['insulin', 'Additives', 'allergies']","['insulin Additives', 'allergies']"
4,How does alcohol affect Blood Sugar?,complications,"Alcohol can have a confusing effect on blood sugar levels because it prevents the liver from producing glucose. One consequence of this is that hypoglycemia can occur after a night of drinking. As a result people with diabetes are often advised to eat something to compensate for the expected drop in blood sugar levels. Alcohol does affect different people in different ways so if in doubt test your blood glucose to see how alcohol affects you. Some people may find it all too easy to let diabetes drift out of their mind when having alcohol and not worry too much about sugar levels. However it is advisable to test blood sugar levels whenever possible to get an idea of how different drinks affect your sugar levels.""",alcohol can have a confusing effect on blood sugar levels because it prevents the liver from producing glucose.,['confusing'],"['alcohol', 'effect', 'blood', 'sugar', 'levels', 'liver', 'glucose']","['alcohol', 'blood sugar levels', 'effect', 'glucose', 'liver']",[],"['alcohol', 'Blood', 'Sugar']","['alcohol', 'Blood Sugar']"
5,What is Alström Syndrome?,informationanddefinition,"Alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes. Most of the features of Alström syndrome are treatable although health complications of the condition are common. It is estimated that around 200 families in the UK may be affected by Alström syndrome.""",alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes.,"['rare', 'genetic', 'extreme', 'light']","['alström', 'syndrome', 'disorder', 'number', 'features', 'sensitivity', 'hearing', 'problems', 'heart', 'problems', 'obesity', 'type', 'diabetes']","['alström syndrome', 'number', 'features', 'sensitivity', 'hearing problems heart problems', 'type', 'obesity', 'diabetes']",[],"['Alström', 'Syndrome']",['Alström Syndrome']
6,What does Alström Syndrome Symptoms includes?,manifestation,"There are a number of common features of Alström syndrome which include: Eye problems: Including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) Hearing impairment Cardiomyopathy: Disorder of the heart muscle Obesity Insulin resistance and hyperinsulinemia: Leading to type 2 diabetes Hypertriglyceridaemia: Abnormally high triglyceride levels in the blood Renal dysfunction: Kidney disorders Heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10. Children with Alström syndrome will usually gain weight quickly despite eating healthily and diagnosis of type 2 diabetes within childhood is common. The features which a child develops as well as the severity of the symptoms can vary from child to child. Additional complications which can follow include: Bladder and bowel problems Bone and joint problems: Including arthritis Hypogonadism (low testosterone levels) Polycystic ovary syndrome (PCOS) Hypothyroidism: Underactive thyroid function.""",there are a number of common features of alström syndrome which include: eye problems: including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) hearing impairment cardiomyopathy: disorder of the heart muscle obesity insulin resistance and hyperinsulinemia: leading to type 2 diabetes hypertriglyceridaemia: abnormally high triglyceride levels in the blood renal dysfunction: kidney disorders heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10.,"['common', 'retinal', 'progressive', 'involuntary', 'extreme', 'high', 'renal']","['number', 'features', 'alström', 'syndrome', 'eye', 'problems', 'degeneration', 'worsening', 'vision', 'nystagmus', 'eye', 'movements', 'photophobia', 'sensitivity', 'light', 'impairment', 'cardiomyopathy', 'disorder', 'heart', 'muscle', 'obesity', 'insulin', 'resistance', 'hyperinsulinemia', 'type', 'diabetes', 'hypertriglyceridaemia', 'triglyceride', 'levels', 'blood', 'dysfunction', 'kidney', 'disorders', 'heart', 'eye', 'problems', 'birth', 'problems', 'age']","['features', 'alström syndrome', 'number', 'eye problems', 'degeneration', 'worsening', 'vision', 'disorder', 'hearing impairment cardiomyopathy', 'hyperinsulinemia', 'hypertriglyceridaemia', 'light', 'sensitivity', 'eye movements', 'photophobia', 'heart muscle obesity insulin resistance', 'diabetes', 'eye problems', 'nystagmus', 'heart', 'kidney disorders', 'birth', 'hearing problems', 'age', 'blood', 'dysfunction', 'triglyceride levels']",[],"['Alström', 'Syndrome', 'Symptoms']","['Symptoms', 'Alström Syndrome']"
7,what is the causes of Alström syndrome?,cause,"Alström syndrome is caused by a mutation in the ALMS1 gene. A mutation in this gene is known to affect a protein related to cilia minute whiskers which are present on the surface of cells. If each parent has a mutation in the ALMS1 gene there is a 1 in 4 chance that each child they have will develop Alström syndrome.""",alström syndrome is caused by a mutation in the alms1 gene.,[],"['alström', 'syndrome', 'mutation', 'alms1', 'gene']","['alström syndrome', 'mutation', 'gene']",[],"['causes', 'Alström', 'syndrome']","['causes', 'Alström', 'syndrome']"
8,How is Alström syndrome diagnosed?,diagnosis,"A diagnosis of Alström syndrome may be made based on presence of the symptoms. If confirmation is needed genetic testing can be used to identify mutation of the ALMS1 gene.""",a diagnosis of alström syndrome may be made based on presence of the symptoms.,[],"['diagnosis', 'alström', 'syndrome', 'presence', 'symptoms']","['diagnosis', 'alström syndrome', 'symptoms', 'presence']",[],"['Alström', 'syndrome']","['syndrome', 'Alström']"
9,Can I get an artificial pancreas?,informationanddefinition,"There are three main artificial pancreas systems being worked on by researchers: Closed-loop artificial pancreas Bionic pancreas Implanted artificial pancreas.""","there are three main artificial pancreas systems being worked on by researchers: closed-loop artificial pancreas bionic pancreas implanted artificial pancreas.""","['main', 'artificial', 'closed', 'artificial', 'bionic', 'artificial']","['pancreas', 'systems', 'researchers', 'loop', 'pancreas', 'pancreas', 'pancreas.']","['pancreas systems', 'researchers', 'pancreas', 'pancreas.']",['artificial'],['pancreas'],['pancreas']
